season,week,team,vam_lost
2022,18,KC,0.0
2022,18,LA,40.40855996189614
2022,18,LV,0.0
2022,18,MIA,58.50329281800409
2022,18,MIN,14.50445499410853
2022,18,NO,9.0
2022,18,NYG,38.0
2022,18,NYJ,8.0
2022,18,PHI,26.63749824167462
2022,18,PIT,3.0
2022,18,SEA,7.367714558443719
2022,18,SF,104.48847945060136
2022,18,TB,22.0
2022,18,TEN,0.0
2022,18,WAS,23.0
2022,19,BAL,33.9518129823594
2022,19,CIN,0.0
2022,19,DAL,3.0
2022,19,MIA,17.412751378953082
2022,19,SF,99.48847945060136
2022,19,TB,8.23226541146352
2022,20,CIN,0.0
2022,20,DAL,0.0
2022,20,KC,16.44000685616631
2022,20,PHI,8.0
2022,20,SF,99.48847945060136
2022,21,CIN,0.0
2022,21,SF,96.48847945060136
2023,1,ARI,0.0
2023,1,ATL,5.0
2023,1,BAL,17.0
2023,1,CAR,21.153133170537
2023,1,CIN,7.0
2023,1,DAL,17.0
2023,1,DET,3.0
2023,1,GB,37.360441832602966
2023,1,HOU,17.0
2023,1,JAX,0.0
2023,1,LAC,4.0
2023,1,LV,11.0
2023,1,MIA,0.0
2023,1,NE,8.0
2023,1,NO,12.38566259577621
2023,1,NYG,12.499416722601941
2023,1,SEA,0.0
2023,1,TEN,0.0
2023,2,ARI,0.0
2023,2,ATL,2.0
2023,2,BAL,29.0
2023,2,CHI,2.0
2023,2,DAL,17.0
2023,2,DEN,12.468308218268524
2023,2,DET,7.0
2023,2,HOU,28.0
2023,2,JAX,0.0
2023,2,LAC,16.01186472936933
2023,2,LV,49.084036752855106
2023,2,MIA,2.0
2023,2,MIN,0.0
2023,2,NYG,27.499416722601943
2023,2,PHI,14.50452746665894
2023,2,PIT,0.319205941224936
2023,2,SEA,0.0
2023,2,SF,5.0
2023,2,TB,5.0
